name,beads_0,beads_1,beads_2,beads_3,beads_4,beads_5,beads_6,beads_7,sample_a,sample_b
ORF8_116,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.131
M_0,0.066,0.066,0.066,0.000,0.066,0.071,2.292,0.566,0.054,1.219
M_4,0.000,0.000,1.878,0.094,0.000,1.521,0.073,0.000,0.023,1.791
M_8,0.000,0.000,4.342,1.282,0.000,0.140,0.001,0.240,0.006,0.117
M_12,0.000,0.000,0.000,0.000,0.000,0.005,0.051,0.001,0.298,1.320
M_16,0.000,0.000,0.003,3.763,0.000,0.012,0.000,0.031,0.000,2.418
M_20,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.437
M_24,0.000,0.000,0.018,0.028,0.000,0.186,0.004,0.000,0.000,0.373
M_28,0.000,0.000,0.000,0.059,0.000,0.577,0.000,0.002,0.000,0.985
M_32,1.061,0.066,0.820,0.000,0.066,0.072,0.066,0.066,0.008,1.331
M_36,0.000,0.000,0.114,0.111,0.000,0.011,0.113,0.000,0.321,0.613
M_40,0.000,0.000,0.000,0.094,0.000,0.883,0.000,0.000,0.000,0.947
M_44,0.000,0.000,0.000,0.000,0.000,0.002,0.115,0.000,0.004,5.760
M_48,0.000,0.000,0.000,0.000,0.000,0.021,1.476,0.000,0.027,2.512
M_52,0.000,0.110,0.291,0.000,0.000,0.195,0.020,0.000,0.248,0.825
M_56,0.000,0.000,0.000,0.035,0.000,0.000,0.209,0.000,0.001,1.169
M_60,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.003,0.000,0.697
M_64,2.987,0.066,0.066,0.000,1.957,0.070,1.342,0.066,0.008,1.219
M_68,0.000,0.000,0.000,0.000,0.000,0.025,0.053,0.000,0.000,3.208
M_72,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,1.015
M_76,0.000,0.000,0.000,0.000,0.000,0.122,0.000,0.000,0.003,0.282
M_80,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.009,1.694
M_84,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.001,0.582
M_88,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
M_92,0.000,0.000,0.000,0.000,0.000,0.148,0.019,0.000,0.457,0.339
M_96,0.000,0.000,0.000,0.000,0.000,0.003,0.026,0.000,0.000,2.864
M_100,0.000,0.000,0.000,0.000,0.000,0.119,0.007,0.000,0.001,0.647
M_104,0.000,0.000,0.000,1.282,0.000,2.150,0.276,0.116,0.237,2.943
M_108,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
M_112,0.000,0.000,0.000,0.418,0.000,0.122,0.000,0.000,0.008,0.085
M_116,0.000,0.000,0.000,0.000,0.000,0.066,0.000,0.000,0.002,4.216
M_120,0.000,0.000,0.000,0.028,0.000,0.003,0.000,0.000,0.000,0.942
M_124,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
M_128,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,1.085
M_132,0.000,0.000,0.316,0.189,0.000,0.006,0.000,0.000,0.000,1.409
M_136,1.061,0.066,2.051,0.000,9.360,0.657,1.342,1.641,0.083,0.996
M_140,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
M_144,0.000,0.000,4.342,0.316,0.000,0.141,0.013,0.000,0.002,0.375
M_148,0.000,0.000,0.000,0.000,0.000,0.178,0.115,0.000,0.796,2.173
M_152,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.242
M_156,0.008,0.000,0.317,1.033,0.050,0.756,0.026,0.000,0.044,4.547
M_160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.534
M_164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.632
M_168,0.000,0.000,0.010,0.000,0.000,0.017,0.000,0.043,0.016,0.556
M_172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400
M_176,1.061,0.066,0.820,0.000,0.066,1.764,0.566,1.641,0.003,1.108
M_180,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
M_184,0.000,0.000,0.000,0.000,0.000,0.026,0.007,0.000,0.000,0.099
M_188,0.000,0.114,0.781,4.342,0.000,1.444,0.026,0.429,0.032,2.308
M_192,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.588
M_196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.300
M_200,0.000,0.000,1.898,0.018,0.000,0.002,0.031,0.000,0.009,0.217
M_204,0.000,0.000,0.000,0.000,0.000,0.097,0.155,0.000,0.275,0.741
M_208,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,1.610
M_212,0.000,0.000,0.000,0.283,0.000,0.019,0.000,0.000,0.000,1.108
M_216,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
M_220,0.000,0.000,0.781,3.763,0.000,0.002,0.219,0.004,0.000,0.808
S_0,0.000,0.000,0.000,0.000,0.000,0.000,0.276,0.000,0.000,0.124
S_4,0.000,0.000,0.000,0.632,0.000,0.002,0.000,0.000,0.000,0.885
S_8,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_12,0.008,0.000,0.000,1.878,0.000,0.300,0.000,0.000,0.000,0.447
S_16,0.111,0.000,0.013,0.000,0.000,0.121,0.000,0.067,0.037,1.795
S_20,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.003,0.828
S_24,0.000,0.000,3.509,1.282,0.000,0.760,0.437,0.240,0.030,4.654
S_28,0.000,0.000,0.003,0.000,0.000,0.000,0.007,0.000,0.045,1.493
S_32,0.001,0.000,0.000,0.000,0.000,0.172,0.002,0.006,0.465,0.174
S_36,0.000,0.000,0.000,0.000,0.000,0.479,0.017,0.006,0.072,0.374
S_40,0.000,0.000,0.009,3.124,0.000,0.019,0.000,0.000,0.000,0.274
S_44,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.763
S_48,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_52,0.000,0.000,0.000,0.781,0.000,0.141,0.013,0.000,0.000,0.125
S_56,0.000,0.000,0.000,0.000,0.000,0.140,0.155,0.000,0.000,2.775
S_60,0.000,0.000,0.000,0.316,0.000,1.064,0.053,0.001,0.001,0.115
S_64,0.000,0.000,3.509,0.316,0.000,1.556,1.270,0.000,0.002,0.103
S_68,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.749
S_72,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.205
S_76,0.000,0.000,0.000,0.000,0.000,0.692,0.000,0.000,0.055,0.288
S_80,0.000,0.000,0.009,0.028,0.000,0.019,0.365,0.000,0.000,1.889
S_84,0.000,0.000,0.000,0.781,0.000,0.295,0.000,0.010,0.000,0.724
S_88,1.061,0.066,0.820,0.000,0.066,0.072,0.066,0.066,0.032,1.331
S_92,0.000,0.000,0.000,0.000,0.000,0.148,2.648,0.000,0.206,0.273
S_96,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.999
S_100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.536
S_104,0.000,0.000,0.007,0.007,0.000,0.302,0.000,0.000,0.000,0.697
S_108,0.000,0.000,0.000,0.000,0.000,0.045,0.053,0.000,0.000,0.178
S_112,0.000,0.000,0.044,0.111,0.000,0.173,0.958,0.000,0.388,1.548
S_116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067
S_120,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.003,0.739
S_124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,2.923
S_128,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_132,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_136,0.000,0.000,0.000,0.002,0.000,0.013,0.073,0.000,0.001,1.659
S_140,0.000,0.000,0.000,0.000,0.000,0.023,0.116,0.000,0.155,0.764
S_144,0.000,0.000,1.284,2.343,0.000,0.012,0.000,0.000,0.000,0.274
S_148,0.000,0.000,0.000,0.000,0.000,0.185,0.000,0.000,0.003,0.637
S_152,0.000,0.000,0.000,0.316,0.000,0.282,0.019,0.000,0.000,1.216
S_156,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.013,4.602
S_160,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.504
S_164,0.000,0.000,0.001,0.090,0.000,0.001,0.001,0.000,0.006,0.260
S_168,0.000,0.000,0.000,0.136,0.000,0.019,0.115,0.000,0.047,0.471
S_172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.297
S_176,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_180,2.987,5.756,3.670,0.000,1.957,2.230,1.342,0.566,0.083,0.863
S_184,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.000,0.033,2.672
S_188,0.000,0.000,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.935
S_192,0.000,0.000,0.000,0.000,0.000,0.156,0.000,0.000,0.000,2.571
S_196,0.000,0.000,0.000,0.000,0.000,0.011,0.002,0.000,0.001,0.116
S_200,0.000,0.000,0.000,0.000,0.000,0.001,0.007,0.000,0.003,0.463
S_204,0.000,0.000,0.090,0.781,0.000,0.000,0.002,0.000,0.000,0.451
S_208,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_212,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_216,0.000,0.000,0.000,0.000,0.000,0.003,0.439,0.000,0.189,0.669
S_220,0.000,0.000,0.316,0.316,0.000,0.136,0.003,0.000,0.000,1.603
S_224,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.047
S_228,0.066,1.342,0.066,0.000,0.066,0.227,0.566,0.566,0.054,0.459
S_232,0.000,0.000,0.000,1.562,0.000,0.282,0.002,0.000,0.000,0.612
S_236,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.258
S_244,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_248,0.000,0.000,0.000,0.000,0.000,0.573,0.006,0.000,0.132,2.647
S_252,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_256,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_260,0.000,0.000,0.009,0.037,0.000,0.005,0.000,0.000,0.000,1.219
S_264,0.000,0.000,0.009,0.028,0.000,0.186,0.000,0.000,0.002,2.136
S_268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.749
S_272,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.295
S_276,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,1.522
S_280,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_284,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_288,0.000,0.000,0.094,0.018,0.000,0.019,0.004,0.000,0.002,0.373
S_292,0.000,0.000,0.000,0.037,0.000,0.025,0.000,0.000,0.000,0.373
S_296,0.000,0.000,0.007,0.000,0.000,1.446,0.013,0.000,0.000,0.882
S_300,0.000,0.000,0.000,0.000,0.000,0.245,0.000,0.000,0.084,2.854
S_304,0.000,0.000,0.781,1.282,0.000,1.053,0.001,0.116,0.002,0.697
S_308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.116
S_312,0.000,0.000,0.000,0.316,0.000,0.000,0.000,0.000,0.000,1.363
S_316,0.000,0.000,0.000,0.000,0.000,0.193,0.000,0.000,0.005,0.585
S_320,0.000,0.000,0.000,0.000,0.000,0.075,0.120,0.000,0.014,0.306
S_324,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_328,0.000,0.000,0.781,0.781,0.000,0.045,0.026,0.011,0.000,1.716
S_332,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.045,0.098,0.974
S_336,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.084
S_340,0.000,0.000,0.000,0.000,0.000,0.141,0.146,0.000,0.000,0.452
S_344,0.000,0.000,0.000,0.046,0.000,0.031,0.000,0.000,0.000,0.373
S_348,0.000,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.000,2.408
S_352,0.000,0.000,0.007,0.540,0.000,0.294,0.000,0.000,0.033,2.122
S_356,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_360,0.000,0.000,0.000,0.085,0.000,0.027,0.007,0.000,0.044,0.112
S_364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.721
S_368,0.000,0.000,0.000,0.018,0.000,0.013,0.292,0.000,0.001,0.808
S_372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.209
S_376,0.000,0.000,0.000,0.094,0.000,0.091,0.013,0.000,0.000,0.814
S_380,0.066,14.849,0.066,0.000,0.066,2.822,0.566,1.641,0.083,1.838
S_384,0.000,0.000,0.000,0.000,0.000,0.317,0.000,0.113,0.000,0.981
S_388,0.000,0.000,0.000,0.316,0.000,0.588,0.000,0.000,0.000,0.885
S_392,0.000,0.000,0.316,0.781,0.000,0.140,0.001,0.000,0.000,0.591
S_396,0.000,0.000,0.000,0.000,0.000,0.140,0.000,0.000,0.000,1.100
S_400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.251
S_404,0.000,0.000,2.564,5.635,0.000,0.882,0.000,0.129,0.000,0.576
S_408,0.000,0.000,0.000,0.002,0.000,0.836,0.000,0.000,0.166,0.378
S_412,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_416,0.000,0.000,0.000,0.000,0.000,0.239,0.000,0.000,0.000,1.310
S_420,0.000,0.000,0.000,0.000,0.000,0.002,0.026,0.000,0.000,1.966
S_424,0.000,0.000,0.000,0.283,0.000,0.227,0.000,0.000,0.000,1.219
S_428,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.081,2.899
S_432,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_436,0.000,0.000,0.000,0.007,0.000,0.000,0.209,0.003,0.009,3.534
S_440,0.000,0.000,0.000,0.000,0.000,1.255,0.000,0.000,0.764,1.227
S_444,1.061,3.354,0.066,0.000,0.066,0.071,0.066,0.566,0.000,1.331
S_448,0.000,0.000,0.000,0.000,0.000,0.005,0.639,0.000,0.000,0.859
S_452,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,0.231,0.828
S_456,0.000,0.000,0.000,0.000,0.000,0.046,0.026,0.000,0.000,1.095
S_460,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.417
S_464,0.000,0.033,0.000,0.000,0.000,1.944,0.005,0.000,0.278,0.064
S_468,0.000,0.000,0.000,0.000,0.000,0.204,0.000,0.000,0.275,2.980
S_472,0.000,0.000,0.781,1.562,0.000,0.006,0.053,0.000,0.000,3.695
S_476,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_480,0.066,1.342,0.820,0.000,1.957,0.221,2.292,0.566,0.000,0.416
S_484,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_488,0.000,0.000,0.000,1.878,0.000,0.294,0.073,0.116,0.000,2.122
S_492,0.000,0.000,0.316,1.282,0.000,0.046,0.026,0.000,0.000,0.663
S_496,0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.408,0.064
S_500,0.000,0.000,0.000,0.000,0.000,0.394,0.717,0.000,0.259,0.777
S_504,0.111,0.000,0.000,0.002,0.000,0.514,0.745,0.001,0.260,0.166
S_508,0.000,0.000,0.009,0.632,0.000,0.091,0.000,0.000,0.000,0.331
S_512,0.000,0.000,0.000,0.000,0.000,0.046,0.000,0.000,0.000,0.702
S_516,0.000,0.000,0.316,1.282,0.000,0.141,0.155,0.000,0.000,0.217
S_520,0.000,0.000,0.000,0.000,0.000,0.062,0.006,0.000,0.015,0.126
S_524,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,1.546
S_528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,2.682
S_532,0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.000,1.340
S_536,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_540,0.000,0.000,0.000,0.000,0.000,0.011,0.002,0.000,0.028,2.424
S_544,0.000,0.000,1.885,0.009,0.000,0.361,0.013,0.000,0.034,0.452
S_548,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_552,0.000,0.000,0.000,0.000,0.000,0.248,0.000,0.000,0.030,0.085
S_556,1.061,1.342,3.670,0.000,18.042,5.307,0.066,1.641,0.683,0.253
S_560,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.131
S_564,0.000,0.000,0.000,0.000,0.000,0.202,0.000,0.000,0.001,1.314
S_568,0.000,0.000,0.000,0.094,0.000,0.281,0.002,0.000,0.000,0.724
S_572,0.000,0.000,0.000,0.189,0.000,0.182,0.003,0.000,0.000,1.108
S_576,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.050,0.744
S_580,0.000,0.000,0.000,0.009,0.000,0.160,0.000,0.000,0.002,1.216
S_584,0.000,0.000,0.000,0.002,0.000,0.124,0.000,0.000,0.001,0.583
S_588,0.000,0.000,0.018,3.124,0.000,0.273,0.000,0.000,0.000,0.416
S_592,0.000,0.000,0.000,0.000,0.000,0.281,0.000,0.000,0.000,0.281
S_596,0.000,0.000,0.000,0.037,0.000,0.004,0.000,0.000,0.000,1.108
S_600,0.000,0.000,0.007,1.282,0.000,1.387,0.000,0.010,0.000,0.646
S_604,0.000,0.000,0.094,0.189,0.000,0.019,0.000,0.000,0.000,2.031
S_608,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.364,0.587
S_612,0.000,0.000,0.000,0.189,0.000,0.019,0.000,0.000,0.000,1.086
S_616,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_620,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,3.087
S_624,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_628,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,1.934
S_632,0.000,0.000,0.009,0.632,0.000,2.106,0.002,0.021,0.000,0.513
S_636,0.000,0.000,0.000,0.000,0.000,0.162,0.004,0.000,0.005,3.084
S_640,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,1.973
S_644,0.008,0.001,2.558,3.509,0.000,0.760,0.276,0.416,0.017,0.882
S_648,0.000,0.000,0.094,0.094,0.000,0.091,0.000,0.000,0.000,2.136
S_652,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_656,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_660,0.000,0.000,0.000,0.189,0.000,0.001,0.000,0.000,0.000,0.835
S_664,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,1.322
S_668,0.000,0.000,0.000,0.000,0.000,0.312,0.000,0.000,0.000,1.213
S_672,0.000,0.000,0.000,0.000,0.000,0.185,0.001,0.000,0.000,0.750
S_676,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.000,0.000,0.932
S_680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.197
S_684,0.000,0.000,0.316,0.018,0.000,0.300,0.000,0.092,0.009,2.036
S_688,0.000,0.000,0.001,0.000,0.000,0.004,0.278,0.000,0.167,1.123
S_692,0.000,0.000,0.000,0.000,0.000,0.026,0.276,0.000,0.003,0.365
S_696,0.066,0.066,3.986,0.000,0.066,0.070,0.066,1.641,0.000,0.367
S_700,0.000,0.000,0.000,1.282,0.000,0.509,0.000,0.000,0.000,0.916
S_704,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_708,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_712,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,1.336
S_716,0.000,0.000,0.000,1.562,0.000,0.282,0.002,0.000,0.000,0.612
S_720,0.000,0.000,0.013,0.632,0.000,0.006,0.000,0.086,0.000,0.210
S_724,0.000,0.000,0.009,0.189,0.000,0.137,0.000,0.000,0.000,0.331
S_728,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,170.644,0.459
S_732,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,170.644,0.459
S_736,0.000,0.000,0.000,0.013,0.000,0.000,0.006,0.000,100.000,1.581
S_740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.609
S_744,0.000,0.000,0.000,0.189,0.000,0.002,0.019,0.000,0.000,0.948
S_748,0.000,0.000,0.000,0.000,0.000,0.097,0.094,0.001,0.252,0.116
S_752,0.000,0.000,1.282,0.316,0.000,0.140,0.053,0.001,0.001,1.041
S_756,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.041
S_760,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_764,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.048
S_768,1.061,11.790,0.820,0.000,1.957,0.215,0.566,2.987,0.083,0.360
S_772,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_776,0.000,0.000,0.316,0.781,0.000,0.140,0.874,0.000,0.000,0.125
S_780,0.000,0.000,0.781,1.878,0.000,0.502,0.073,0.001,0.017,1.304
S_784,0.000,0.000,0.000,0.000,0.000,0.086,0.002,0.000,0.000,0.663
S_788,0.066,0.066,0.066,0.000,0.066,0.072,0.066,0.066,0.000,0.459
S_792,0.000,0.000,0.632,0.377,0.000,0.019,0.000,0.000,0.000,0.367
